text,label
"BRASÍLIA- Advogados investigadores e ministros de tribunais superiores ouvidos pelo Estado apontam as peculiaridades do trabalho do Supremo Tribunal Federal (STF) que fazem com que os números de Curitiba e Brasília não possam ser comparados. Para os especialistas a falta de expertise e estrutura na questão penal no Supremo a necessidade de decisões em colegiado e a estrutura voltada para ações constitucionais fazem com que o ritmo seja distinto ao das investigações na Justiça comum. Ao STF caberia analisar ações penais envolvendo autoridades com foro privilegiado mas o avanço das investigações de corrupção sobre Congresso e governo tem despertado a atenção da opinião pública para o trabalho dos ministros na área criminal. É consenso que o fato de a Corte não ter prática nas questões penais - que são atuação residual e não principal - emperra os trâmites normais. “O Supremo não tem vocação para a instrução penal para produção de prova. Tanto que vem delegando isso para juízes de primeiro grau” afirmou o criminalista Pierpaolo Bottini que tem clientes investigados na Lava Jato tanto no STF como em Curitiba. Além da demora o problema de delegar as funções a juízes locais segundo especialistas é o distanciamento do julgador de depoimentos e produção de provas. “A demora não é pelo fato de os ministros não serem dedicados. Mas não há organização para fazer audiência realizar perícia que é uma expertise do juiz de primeiro grau” afirmou o advogado que têm clientes investigados na Lava Jato tanto no STF como em Curitiba. A advogada Flávia Rahal especialista em processo penal e ligada ao grupo de estudos anticorrupção da FGV-SP aponta que no Supremo a decisão é praticamente única sem revisão por outro tribunal o que dá peso às deliberações da Corte. “Quando se fala de um processo que começa na primeira instância terá assegurado o duplo grau de jurisdição. Então você tem todo um procedimento para aferir a correção da primeira decisão. E quando você está no Supremo não tem como subir esse degrau é praticamente uma decisão única” afirmou a advogada do corpo do Instituto de Defesa do Direito de Defesa (IDDD). Por isso o trâmite da ação penal na Corte segue regras mais complexas. Enquanto um juiz de primeiro grau pode receber a denúncia feita pelo Ministério Público sozinho no Supremo o relator precisa elaborar um voto incluir na pauta da Turma ou do Plenário e convencer a maioria do colegiado sobre a acusação. “Um colegiado se movimenta com mais dificuldade do que uma instância monocrática singular. Um juiz sozinho lavra uma decisão e a sua sentença já manifesta por inteiro a vontade decisória do Estado” avalia o ex-ministro da Corte Ayres Brito. Ministros com passagem pela magistratura afirmam que há varas criminais que costumavam usar um carimbo para recebimento da denúncia – símbolo da facilidade com que os juízes de primeiro grau abrem a ação penal. “O STF leva 617 dias para receber uma denúncia. E é preciso de 11 votos para receber a denúncia sendo que pelo menos o relator precisa fazer alentado voto. Sabem como um juiz de primeiro grau recebe a denúncia? Em 48 horas: recebo a denúncia. Isso é que é vida!” afirmou o ministro Luís Roberto Barroso em palestra no último mês para alunos de uma universidade particular em Brasília. Exclusividade. Investigadores em Brasília destacam ainda que o juiz Sérgio Moro tem dedicação exclusiva à apuração dos crimes envolvendo a Petrobras enquanto o Supremo continua a receber demandas variadas de complexidade política. Teori por exemplo é o relator do pedido de Dilma Rousseff para anular a votação do Senado que a afastou da Presidência da República. “O Moro está exclusivo para a Lava Jato mas nem sempre o primeiro grau é mais rápido” afirmou reservadamente um investigador. No Ministério Público alegam que o procurador-geral da República Rodrigo Janot responsável pelas apurações sobre políticos continua com outras atribuições enquanto a força-tarefa da Lava Jato está só debruçada sobre o caso. O crescimento das ações penais perante o STF tem gerado críticas de especialistas à extensão do foro privilegiado. Janot já declarou ter reservas ao sistema da forma como está - contemplando Congresso ministros de Estado do próprio STF do Tribunal de Contas da União e presidente da República. A Associação dos Magistrados Brasileiros tem se manifestado contra o foro por “trancar” o andamento das investigações e restringir o acesso ao duplo grau de jurisdição.",REAL
"O deputado federal Celso Ubirajara Russomanno cumpriu sem alarde entre junho de 2013 e junho de 2015 um acordo judicial que acabou por livrá-lo do julgamento de um crime eleitoral – o de falsificar declaração em documento público com pena de até cinco anos de reclusão como prevê o artigo 35 do Código Eleitoral. No caso concreto o hoje líder das pesquisas para a eleição à Prefeitura de São Paulo estava denunciado pelo Ministério Público por declaração falsa de domicílio eleitoral em Santo André no ABC paulista onde concorreu à eleição para a prefeitura no ano 2000 (e perdeu para o petista Celso Daniel). O acordo que beneficiou o deputado hoje do Partido Republicano Brasileiro – que não deu retorno ao pedido de entrevista do Estado – foi assinado no fórum de Santo André em 7 de junho de 2013 na presença da promotora Patrícia Maria Sanvito Moroni e do juiz Jarbas Luiz dos Santos então atuantes na 262.ª zona eleitoral. Em troca da suspensão condicional do processo – que acabou sendo arquivado sem julgamento do mérito – Russomanno obrigou-se a comparecer uma vez a cada dois meses ao cartório da 262.ª zona à rua Marquesa de Santos 52 em Santo André. E assim o fez batendo o ponto no cartório a cada bimestre do período – 12 vezes no total. Findo o prazo o processo número 6706.2012.626.0262 foi arquivado em setembro do ano passado. Russomanno comemorou. Era afinal o enterro silencioso de um esqueleto que o atazanava desde 1999 e no qual driblara ao longo de quase 16 anos com muitos advogados decisões desfavoráveis na primeira e na segunda instâncias da Justiça Eleitoral de São Paulo e até por duas vezes no Supremo Tribunal Federal. Legislação. O benefício que permite a suspensão condicional de um processo mediante certas condições está previsto no artigo 89 da Lei 9.099 de 1995. Ele diz que se a pena mínima cominada for igual ou inferior a um ano o Ministério Público ao oferecer a denúncia poderá propor a suspensão do processo por dois a quatro anos. É necessário para tal que o acusado não esteja sendo processado ou não tenha sido condenado por outro crime além de outros requisitos exigidos pelo artigo 77 do Código Penal. O juiz Jarbas entendeu que Russomanno atendia essas exigências – e no mesmo acordo concordou em conceder-lhe a liberalidade de não ter que informar sua saída de São Paulo a cada vez que precisasse fazê-lo. “Considerando-se a carreira política do denunciado eventual ausência da Comarca em razão de viagens a trabalho não necessitará de prévia autorização judicial” diz o documento firmado em junho de 2013. Derrotas. O começo do caso está em 29 de setembro de 1999. Russomanno estava então no PPB de Paulo Maluf. Pretendia disputar a eleição do ano seguinte para a prefeitura de Santo André. Para habilitar-se requereu à 262ª zona eleitoral a transferência de seu domicílio eleitoral. Declarou em 29 de setembro de 1999 que alugara desde 14 de junho um apartamento na rua Luiz Pinto Flaquer 500 em Santo André. Também concorrente à eleição o PSB do município acusou Russomanno por declaração falsa e pediu que o Ministério Público eleitoral impugnasse o domicílio. Russomanno obteve uma liminar que permitiu sua participação na eleição – teve 80 mil votos contra 250 mil de Celso Daniel – mas no mérito o juiz José Luiz Silveira de Araujo o condenou. Foi a primeira derrota de Russomanno. Ele recorreu ao Tribunal Regional Eleitoral – e perdeu por unanimidade uma segunda vez. O acórdão com essa decisão – número 136.172 de 17 de agosto de 2000 – acata os três argumentos da primeira instância: 1) O proprietário do apartamento disse que Russomanno esteve no local uma vez mas não contratou o aluguel porque não havia garagem; 2) três moradores do prédio disseram que nunca o viram por lá; 3) inexistiu consumo de energia elétrica no período alegado. “Esse conjunto probatório” – diz o acórdão do TRE-SP assinado por seis juízes – “é demais sólido para identificar que o recorrente [RUSSOMANO]não residiu no local declinado.” Russomanno mais uma vez recorreu com embargos e amargou a terceira derrota. Em junho de 2000 o foro privilegiado de deputado federal levou o processo para o Supremo Tribunal Federal. Ali ele tramitou por dez anos como o inquérito 1645 em que o Ministério Público Federal acusava o parlamentar pelo crime do artigo 350. A denúncia contra Russomanno relatada pelo ministro Eros Grau foi aceita por unanimidade em 5 de junho de 2008. Em junho de 2012 rejeitando todos os recursos dos advogados de Russomanno – inclusive o que alegava prescrição – o STF autuou o inquérito como ação penal [AP 685]tendo o ministro Luiz Fux como relator. Como naquele momento o réu não mais tivesse foro privilegiado – perdera a eleição de 2010 para o governo de São Paulo vencida por Geraldo Alckmin e estava sem mandato – Fux no mesmo junho de 2012 mandou que a ação prosseguisse na primeira instância justo a 262.ª zona eleitoral de Santo André onde foi rebatizado como AP 6706. Em 17 de agosto daquele mesmo ano[2012] o juiz eleitoral Jarbas Luiz dos Santos deu um despacho em que não acolheu nenhuma preliminar dos advogados de Russomanno – entre elas a que pedia sua “preservação” já que argumentaram seria candidato a prefeito de São Paulo na eleição de 2012. “Inacolhível” escreveu o juiz Jarbas. “O que deve ser preservado é a lei.” [19/10/2012] “Esse conjunto probatório é demais sólido para identificar que o recorrente não residiu no local declinado” Tribunal Regional Eleitoral de São Paulo ACÓRDÃO SOBRE DECLARAÇÃO FALSA DE DOMICÍLIO ELEITORAL DO CANDIDATO",REAL
"Começar um governo depois de um longo e traumático processo de impeachment é muito diferente de assumir sob embalo de uma campanha acirrada de uma vitória nas urnas e de uma vibrante festa de posse. No caso de Temer acrescentem-se as circunstâncias: uma crise de dar dó Orçamento destroçado e a Lava Jato pairando sobre tudo e todos. Quando se fala de Itamar Franco vêm à tona o sucesso a pacificação política e o Plano Real mas não começou assim... Não havia contestação ao impeachment de Collor nem protestos nas ruas e o único partido que virou as costas à transição foi o PT mas Itamar penou na questão crucial: a economia. Foram quatro ministros da Fazenda até que Fernando Henrique reunisse os melhores economistas e entregasse o Plano Real. E ainda vieram mais dois ministros. Seis em dois anos. Olhando retrospectivamente os tempos Itamar parecem uma maravilha mas entraram e saíram da Fazenda Gustavo Krause Paulo Haddad Eliseu Resende FH Rubens Ricupero e Ciro Gomes. A cada chegada uma incerteza. A cada saída uma crise com exceção de FH que saiu para a campanha e dali para o Planalto. Logo não chega a ser dramático Temer trocar os ministros do Planejamento e do Turismo e o advogado-geral da União. O problema é que Romero Jucá ainda sonha voltar e Henrique Alves saiu de fininho mas Fábio Osório pode ser uma bomba. Saiu por acúmulo de erros como diz o Planalto ou para não esquentar a Lava Jato como ele diz? Com três meses de interinidade e dez dias de governo de fato Temer já apanha dos protestos das centrais trabalhistas das entidades patronais do funcionalismo do corporativismo dos analistas da base aliada e de próceres do próprio PMDB tudo isso sob a premência das reformas e a sombra da Lava Jato. Quem mais? Quando? As primeiras obrigações do presidente são não falar fora de hora e fora do tom e dar um freio de arrumação no próprio governo que comete um erro atrás do outro e se mostra prodigioso em dar munição aos inimigos. Menosprezar um bordão forte como “golpe” desdenhar das manifestações escorregar em declarações nas áreas de educação de saúde e agora na delicadíssima área trabalhista são coisas de amadores não do governo de quem presidiu a Câmara três vezes. Assim como a palavrinha mágica “golpe” ajudou a cristalizar talvez em milhões de pessoas a percepção de que o impeachment de Dilma foi ilegal e ilegítimo a “jornada de 12 horas” ajuda a oposição a ratificar que Temer vai retroceder nos direitos e abandonar os pobres à própria sorte. Em vez de falar esse absurdo o governo bem que poderia ter usado e abusado a seu favor e a favor da verdade dos resultados do Ideb que configuram o fracasso da “pátria educadora” de Dilma. Política e comunicação são indissociáveis dentro de uma velha concepção de que “assim é se lhe parece”. Ou seja o que parece (golpe retrocesso social...) passa a ser considerado como fato. É a isso que Temer precisa urgentemente reagir. Além de agir para efetivamente melhorar o governo. Ótima troca: Eduardo Cunha sai amanhã da Câmara e Carmen Lúcia entra na presidência do Supremo levando mulheres competentes para a sua chefia de gabinete a Secretaria-Geral e as secretarias de Comunicação e de Segurança. As pessoas certas no lugar certo no momento histórico certo. Boa sorte!",REAL
"A pressão das ruas contra o deputado afastado Eduardo Cunha (PMDB-RJ) e sobre o presidente Michel Temer levou o Palácio do Planalto a descartar qualquer possibilidade de ajudar o parlamentar a manter o mandato na sessão que decidirá o futuro político dele marcada para amanhã na Câmara. Para o governo a digital da Presidência numa articulação favorável a Cunha poderá fortalecer os protestos anti-Temer. A cassação do ex-todo-poderoso presidente da Câmara por outro lado seria a demonstração de que a gestão de Temer não tem compromisso com o colega de partido e antigo aliado a quem o PT tenta atribuir a responsabilidade pelo impeachment de Dilma Rousseff em parceria com o próprio presidente.  Segundo um interlocutor de Temer a pressão das ruas contra Cunha cresceu muito nos últimos dias como se fosse uma “força de fora para dentro” e não há como se contrapor a isso. Ainda de acordo com esse assessor Cunha está em uma situação muito delicada e sabe que não poderá ter o apoio de antigos aliados. Por isso na reta final do processo de cassação do deputado afastado Temer optou por ficar distante das articulações para tentar salvá-lo e vai assumir os riscos que a perda do mandato do peemedebista podem significar para o governo – há expectativa de que Cunha se cassado e sem direitos políticos possa tentar uma delação premiada na Operação Lava Jato comprometendo correligionários e integrantes do Executivo.  Na avaliação de interlocutores do presidente o cenário neste momento é francamente desfavorável ao deputado fluminense. Um desses auxiliares do Planalto lembra que “a onda” é pela cassação diante da pressão da opinião pública. O Placar do Estado mostra que já há número de votos suficiente para que ele perca o mandato. Setores do governo porém estariam sensíveis a um acordo em torno do abrandamento da pena do peemedebista.  Anteontem a defesa de Cunha e de um deputado aliado entraram no Supremo Tribunal Federal com um mandado de segurança para que o plenário da Câmara vote em vez do parecer pela cassação de Cunha um projeto de resolução. A peça permite emendas e consequentemente a proposição de uma pena mais branda como uma suspensão temporária. Esforço. Às vésperas da sessão que julgará seu futuro político Cunha passou os últimos dias no apartamento funcional em Brasília longe do séquito de aliados. Os antigos apoiadores agora se esforçam cada vez menos na defesa pública do deputado afastado e usam a campanha eleitoral para se distanciar do caso. O peemedebista por sua vez tenta convencer seus pares a faltar à sessão ou se abster na votação para evitar a cassação. Cunha começou a semana passada confiante de que não seria cassado. Segundo fontes próximas a ele a percepção do deputado afastado era de que o governo havia conseguido neutralizar as investigações da Lava Jato e não tinha interesse em vê-lo perder o mandato. Com a ajuda de líderes de alguns partidos do chamado Centrão a estratégia de Cunha era esvaziar a sessão de cassação e adiar o fim do processo na Câmara. Levantamentos sobre a intenção de voto dos parlamentares mudaram no entanto essa percepção. Depois de uma carta emotiva aos parlamentares e mensagens de celular Cunha passou a telefonar para colegas de Câmara. De acordo com relatos ele cobra dos antigos aliados os favores e o espaço concedidos nos tempos em que era o homem mais poderoso da Casa. Dos peemedebistas pede abstenção e dos partidos do Centrão sugere ausência na sessão. Julgados’. Deputados contudo afirmam que estão sendo cobrados em suas bases. “Todo mundo só me pergunta sobre isso. As pessoas estão acompanhando” afirmou o deputado Júlio Delgado (PSB-MG) adversário de Cunha. “Os parlamentares estão julgando mas estão sendo julgados também. Estou confiante de que teremos quórum” disse o relator do processo deputado Marcos Rogério (DEM-RO).  O próprio presidente da Câmara Rodrigo Maia (DEM-RJ) aposta que haverá um número elevado de parlamentares e já admite abrir a votação a partir de 400 presentes no plenário – e não 420 como havia estimado antes. Para se eximir da responsabilidade sobre possíveis manobras Maia marcou a sessão com antecedência avisou que faltas serão descontadas e adiantou que deve negar as questões de ordem. Porém destacou que as decisões finais serão tomadas pelo plenário. “Nada vai cair nas minhas costas.”",REAL
"Porto Alegre - O ex-chefe da Advocacia-Geral da União (AGU) Fábio Medina Osório demitido nesta sexta-feira 9 voltou a relacionar sua saída à suposta insatisfação do Palácio do Planalto com medidas tomadas pela AGU no âmbito da Operação Lava Jato. Em entrevista neste sábado à Rádio Guaíba do Rio Grande do Sul ele disse que foi afastado por ter tomado iniciativas mirando empreiteiras e políticos. Osório acusou o governo de obstaculizar o trabalho da AGU e criticou a atuação do ministro da Casa Civil Eliseu Padilha. O ex-advogado-geral da União reiterou que é da AGU a competência de proteger o erário público e buscar o ressarcimento de danos causados pela corrupção. Segundo ele o governo federal não tem interesse em agilizar processos nesse sentido. Desde o primeiro momento em que ajuizamos ações de improbidade contra empreiteiras buscando ressarcimento de quase R$ 12 bilhões no início da minha gestão eu fui submetido a um processo difamatório constante e contínuo afirmou. Falaram mentiras de toda a espécie para tentar justificar a desconstrução moral de uma autoridade. De acordo Osório o ponto culminante que gerou um atrito com Eliseu Padilha se deu quando a AGU solicitou ao Supremo Tribunal Federal (STF) acesso a inquéritos que apuram a participação de integrantes da base do governo no esquema apurado pela Lava Jato. Ele (Padilha) entende que a AGU tem que estar a serviço dos interesses do governo relatou Osório na entrevista. Osório disse que Padilha concentra superpoderes na Casa Civil e tenta confundir a opinião pública. Dizer que eu não tenho relacionamento no STF para justificar a minha saída é uma falácia uma mentira. O Padilha através da Casa Civil fica espalhando essas notas maldosas falando em nome do Planalto afirmou. De algum modo eu fui alvejado no cargo em função da minha atuação no âmbito da Operação Lava Jato. O ex-advogado-geral da União citou que o ministro Teori Zavascki do STF autorizou o compartilhamento de inquéritos da Lava Jato com a AGU mas o material não foi entregue. Fomos impedidos de acessar esses inquéritos disse Osório. É muito grave isso que vem ocorrendo com uma obstaculização do trabalho da AGU. Osório assumiu a chefia da AGU em maio deste ano apadrinhado pelo próprio Padilha no início do governo interino de Michel Temer. Na entrevista à Rádio Guaíba o ex-advogado-geral da União também afirmou que sua sucessora a ministra Grace Mendonça tem qualidades técnicas irrefutáveis. Esperemos que ela exerça com autonomia e independência sem cerceamento a suas prerrogativas e sem ser submetida ao processo de difamação a que eu fui submetido disse. Neste sábado 10 a AGU divulgou uma nota dizendo que as recentes declarações do ex-chefe da instituição de que o Planalto estaria tentando abafar a Operação Lava Jato atestam o total desconhecimento das rotinas e procedimentos internos da instituição. O texto destaca que a defesa do erário e o combate à corrupção é e continuará sendo sua principal missão. As atividades institucionais continuarão pautadas pelos mais elevados princípios constitucionais que norteiam a Administração Pública diz a nota já sob condução da ministra Grace Mendonça. Procurada neste sábado a assessoria do ministro Eliseu Padilha disse que ele não se manifestaria sobre o assunto.",REAL
"As declarações do ex-chefe da Advocacia-Geral da União (AGU) Fábio Medina Osório de que o Planalto estaria tentando abafar a Operação Lava Jato atestam o total desconhecimento das rotinas e procedimentos internos da instituição segundo nota enviada neste sábado 10 pela assessoria do órgão. O texto destaca que a defesa do erário e o combate à corrupção é e continuará sendo sua principal missão. As atividades institucionais continuarão pautadas pelos mais elevados princípios constitucionais que norteiam a Administração Pública diz a nota já sob condução da ministra Grace Mendonça.  Osório foi demitido do cargo nesta sexta-feira 9 e atribuiu a exoneração à suposta insatisfação do governo com medidas tomadas pela AGU contra políticos investigados na Lava Jato incluindo parlamentares aliados do presidente Michel Temer. Sua exoneração foi definida horas depois de Medina cobrar de sua equipe agilidade nas providências para ajuizar ações de improbidade administrativa contra responsáveis por desvios na Petrobrás. ",REAL
"A condução coercitiva do sindicalista bancário Sérgio Rosa que imperou soberano no reino dos fundos de pensão pela Polícia Federal para ele contar tudo o que sabe aos federais procuradores e o juiz Vallisney de Souza Oliveira da 10ª Vara Criminal Federal de Brasília no âmbito da Operação Greenfield é um marco um ponto de inflexão na politica brasileira. Rosa disse aos repórteres depois de 3 horas e meia de depoimento que gostaria de contar mas não pode porque depõe sob sigilo de justiça. Ele não precisa tornar pública sua versão. O que deveria mesmo era explicar tintim por tintim como foi o saque aos fundos aos agentes da lei. (Comentário no Estadão no Ar da Rádio Estadão – 929 – da quinta-feira 8 de setembro às 7h20m) Para ouvir clique aqui e aberto o site da emissora 2 vezes sob o anúncio em azul  ",REAL
"Um dos poucos aliados remanescentes do deputado Eduardo Cunha o deputado Carlos Marun (PMDB-MS) usou as redes sociais para reclamar das pressões recebidas pelo apoio que vem dando ao ex-presidente da Câmara. Marun reproduziu um outdoor fixado em Campo Grande no Mato Grosso do Sul aonde tem sua base política. O texto publicado pelo Sindicato dos Petroleiros de São Paulo o critica duramente pela defesa de Cunha que será julgado pelo plenário da Câmara nessa segunda-feira (dia 12). Aliado declarado de Cunha Marun reclamou da pressão e atacou o PT. “Amigos mais uma vez estou sendo agredido pelo Sindicato dos Petroleiros de São Paulo que postou este outdoor em Campo Grande. Isso não me assusta. Só devo satisfações aos bons brasileiros do meu Mato Grosso do Sul. E digo mais. Reclamar do saque que o PT promoveu na Petrobras eles não reclamaram” criticou. Marun confirmou que manterá seu apoio a Cunha na sessão de segunda. “Quando vejo essa tropa bolivariana nessa campanha contra Cunha fico mais convencido de que estou certo em não defender sua cassação”.        ",REAL
"Exmo. Sr. PGR Causou estranheza a informação veiculada pela imprensa de que o Ministério Público Federal por meio da Procuradoria Federal dos Direitos do Cidadão “monitorará as condutas das forças policiais durante as manifestações”. Mais do que isso que participará das audiências de custódia de eventuais prisões a serem realizadas em meio aos protestos. Com o devido respeito parece descabida a preocupação do Ministério Público Federal pra não dizer afrontosa. Como é de pleno conhecimento de Vossa Excelência justamente por sermos um país federativo não existe qualquer forma de hierarquia entre o Ministério Público Federal e os Ministérios Públicos Estaduais. O que pauta a atuação de um ou de outro é a existência de regras objetivas de competências previamente estabelecidas na Constituição Federal e nas leis ordinárias. O Ministério Público de São Paulo é instituição formada por mais de 2000 membros entre Promotores e Procuradores de Justiça e que exercem diariamente as funções confiadas pela Constituição Federal em defesa da sociedade da ordem democrática e da Lei. Não cabe ao Ministério Público seja em sua porção Federal ou Estadual pautar-se por predileções ideológicas ou favoritismos políticos. Muito menos se posicionar com ideias preconcebidas para agasalhar pretensões de um lado em detrimento de outro. Portanto agradecemos a preocupação com os fatos ocorridos que são de competência da Justiça Estadual mas dispensamos a colaboração “unilateralmente imposta”. Em outras palavras não precisamos de babás tutores ou curadores. Por outro lado e aproveitando a oportunidade para trocar preocupações recíprocas respeitando os limites de atuação de uma e outra instituição apenas gostaria de lhe deixar um conselho: se possível reúna os Procuradores da República e amplie a força tarefa de Brasília a fim de que seja capaz de agilizar a apuração e ajuizamento de ações penais contra os políticos envolvidos na “Operação Lava Jato” que em razão do foro privilegiado estão sob responsabilidade da Procuradoria Geral da República. Tenho a impressão de que a população não deve entender o porquê da discrepância de números entre o trabalho executado em Curitiba e Brasília. Afinal em dois anos a Força Tarefa de Curitiba já instaurou 1.397 investigações ajuizou 46 ações penais contra 225 pessoas e conseguiu 106 condenações (totalizando mais de 1148 anos de pena a serem cumpridas); enquanto isso no mesmo período a Procuradoria Geral da República em Brasília instaurou apenas 81 investigações ajuizou 14 denúncias contra 45 pessoas e não conseguiu nenhuma condenação! Se possível inclua na força tarefa os procuradores da república que pertençam a Procuradoria Federal dos Direitos do Cidadão pois me parece que não existe interesse maior para os cidadãos do que ver políticos corruptos que se valeram da confiança popular para enriquecerem ilicitamente na cadeia. E se mesmo com toda a mobilização do MPF não for possível a agilização da Operação Lava Jato contra políticos saiba que estamos à disposição para ajudar no que for necessário de forma colaborativa (jamais impositiva) para que a Procuradoria Geral da República cumpra o papel que a Constituição Federal lhe destinou. Cordialmente Aluisio Antonio Maciel Neto 2* Promotor de Justiça de Piracicaba",REAL
"Brasília - A nova chefe advogada-geral da União Grace Maria Fernandes Mendonça assegura que o governo vai tomar as providências necessárias para processar políticos e servidores públicos investigados na Operação Lava Jato. Em entrevista por telefone ao Estado nesta sexta-feira 9 horas depois de ser nomeada para o cargo ela negou que o Palácio do Planalto tenha atuado para que a Advocacia-Geral da União (AGU) não buscasse no Supremo Tribunal Federal (STF) dados sobre o envolvimento de parlamentares em desvios na Petrobrás e outros órgãos.  As informações serão buscadas. Tão logo sejam analisadas pelo Departamento de Probidade Administrativa as ações serão promovidas pela AGU.  Em 22 de agosto o ministro Teori Zavascki relator da Lava Jato na Corte autorizou o compartilhamento de 12 inquéritos com a AGU para que o órgão avalie ajuizar ações de improbidade administrativa contra os investigados no STF. Até esta sexta-feira as cópias não haviam sido feitas. O ex-ministro Fábio Medina Osório atribuiu sua exoneração a uma decisão política tomada pelo governo depois de ele pedir acesso às investigações sobre integrantes da base aliada do presidente Michel Temer. Grace Mendonça é funcionária de carreira da AGU desde 2001 e chefiava a Secretária-Geral de Contencioso responsável pelo acompanhamento das ações no STF. Na véspera da nomeação ela e sua equipe se desentenderam com o ministro exonerado. Por que a demora em buscar no Supremo inquéritos sobre políticos alvos da Lava Jato? O ministro Teori (Zavascki) despachou autorizando o acesso mas nós recebemos a informação do próprio Supremo de que esse processo é físico e que essas informações demandariam algum tipo de transferência ou por sistema ou por algum tipo de mídia. O que estava se acertando até esta semana era a melhor forma de que esses dados fossem migrados sem nenhum prejuízo em relação à questão do sigilo. As informações serão buscadas. Não vai ter nenhum tipo de restrição. Tão logo sejam analisadas pelo Departamento de Probidade Administrativa as ações serão promovidas pela AGU. Contra políticos servidores públicos envolvidos em desvios... Pode ter absoluta certeza. O que se tem é a parte operacional que está sendo trabalhada. É preciso que se tenha um trato institucional seguro até para que se houver algum tipo de equívoco no trato que se tenha a responsabilização. O Planalto manifestou algum incômodo com o compartilhamento? Nunca foi objeto de incômodo. Essa informação posso te assegurar não é verídica. Tanto que o nosso trabalho vai ser tocado o mais rápido possível. Quais são suas prioridades e como a senhora tratará a Lava Jato? Já temos uma força-tarefa que cuida da Lava Jato. É um trabalho ordinário. Agora pelo fato de ser a Lava Jato se despertou interesse. Mas a AGU já faz isso há muito tempo e várias ações foram ajuizadas no combate à corrupção. A ideia é seguirmos nessa linha. Temos aí também toda a preocupação com a redução de litígios perante o Judiciário vamos dar atenção à questão social. A senhora conversou com o presidente Temer? Foi um diálogo basicamente para um convite que foi aceito com muita honra e muito ânimo. Nenhum pedido especial. Houve ingerência da Casa Civil no caso dos inquéritos do Supremo? Desconheço totalmente. Não houve nenhuma solicitação da Casa Civil. Se o próprio advogado-geral quisesse ter acesso (aos inquéritos) ele teria competência para isso como chefe da instituição. Ele não tem nenhuma restrição legal ao contrário. Não se trata de uma competência exclusiva da Secretaria-Geral de Contencioso. Qual foi o assunto da reunião entre o ministro a senhora e sua equipe horas antes da demissão? Não teve um propósito específico. Ele só perguntou (sobre a demora no compartilhamento). A diretora responsável pela área retratou (sic) a ele as tratativas que estavam sendo feitas para que os dados fossem migrados de forma segura. Isso é rotina institucional. Talvez ele não conhecesse a rotina da instituição. Não teve nenhum trato diferenciado. O Supremo entrou em contato conosco coisa de uma semana depois (de autorizar o compartilhamento). Esse processo era físico e o Supremo teve de transformá-lo em eletrônico. A senhora disse que entregaria o cargo? Em nenhum momento coloquei meu cargo à disposição. Até porque se fosse fazê-lo colocaria a quem me nomeou que foi o presidente da República. Foi uma reunião desrespeitosa com os integrantes da instituição. Ele acabou exonerando um dos integrantes da casa sob alegações que não tinham qualquer fundamento e aí toda a equipe falou: se esse colega que está há 20 anos na instituição não puder ser respeitado todos os demais com ele se alinham. A senhora aceitaria pisar no freio em relação a essas medidas relacionadas à Lava Jato? Não se trata de pisar no freio ou não aceitar pisar no freio. São medidas institucionais. É o fluxo ordinário de trabalho. Não tem nenhum obstáculo para que ele seja feito naturalmente nenhum obstáculo da Casa Civil em relação a isso.",REAL
