text,label
Insatisfeitas com seus partidos com as siglas dos partidos com os políticos com as tardes ensolaradas com os dias chuvosos com a lei da gravidade Marina Silva e Heloísa Helena resolveram se unir até ficarem também insatisfeitas uma com a outra e montar um novo partido o Partido Esquerdista da República Unida.Segundo Heloísa Helena já que elas não se unem a ninguém em nenhum sentido é importante que o povo se una para mudar o Brasil. Ela disse que o P.E.R.U. é o que todo mundo precisa e ele pode provocar uma grande mudança. Para isto as pessoas têm que estar abertas e prontas para suportar as dores que podem causar uma ruptura com a ordem tradicional.Vinícius Antunes",FAKE
O Instituto Nupal (Núcleo de Pesquisas da América Latina) fez uma pesquisa que mostrou ideias que podem mudar o Brasil de verdade. Eis as propostas:1) Diminuição do número de zeros nos boletos.2) Proibição de ouvir funk alto dentro de ônibus e outros coletivos.3) Multa para piadas do pavê.4) Multa para marcação de fotos constrangedoras no facebook.5) Multa para posts com fotos de por do sol e mensagens de autoajuda em redes sociais.6) Banimento das palavras e expressões “sinergia” “agregar valor” “quebra de paradigma” e afins da língua portuguesa.7) Instalação de bloqueadores de sinal de celular em salas de cinema e teatro.8) Saída de Claudia Leitte no The Voice.9) Cassação de alvará de estabelecimentos que tenham wi-fi mas não saibam a senha 10) Retirada do ar de qualquer site que publique manchetes como “Fulana é vista tomando sorvete no shopping”.Atentendo a um abaixo assinado dos leitores uma última proposta: 11) Isenção de impostos para Nutella e Paçoquita.",FAKE
O ex-presidente Lula disse em um discurso no Nordeste que não está interessado em assistir ao filme Polícia Federal – A Lei É Para Todos. Ele disse que só verá o filme se for por condução coercitiva.“Só se o Moro mandar os carros da PF me pegarem em casa” disse. “Naquele dia me pegaram e me levaram direto para o depoimento. Cadê o romance? Por que não me chamaram para jantar e pagaram um cinema antes?”Lula disse ainda que o dinheiro que ele teria desviado seria para comprar pipoca no cinema. O ex-presidente também cogita assistir o filme caso a OAS construa um cinema particular no sítio de Atibaia. Veja o trailer do filme que estreia dia 7 de setembro em todo o país:",FAKE
O ex-deputado Eduardo Cunha foi preso hoje em Brasília após pedido de prisão preventiva do juiz da Lava Jato Sergio Moro. Assim que leu a manchete “Cunha é preso em Brasília” Carlos Chagas petista convicto pulou de alegria no escritório em que trabalha no Rio de Janeiro. O que não lembrou no momento era que o caso de Cunha estava nas mãos de Moro e só foi relembrar disso quando leu a notícia completa.“Foi um choque pra mim. O Moro faz parte da elite golpista que persegue o PT e não aceita pobre em aeroporto. Quando percebi que estava comemorando um pedido de prisão feito pelo Moro sofri uma pane mental desmaiei e fui levado para a emergência. Felizmente estou bem agora” disse Carlos saindo do hospital.Para que petistas se sintam mais a vontade para compartilhar no Facebook a notícia sobre a prisão de Cunha os jornais online vão fazer matérias alternativas sem citar o nome de Sérgio Moro na notícia.",FAKE
Após o ex-presidente Fernando Henrique Cardoso escrever em sua página do Facebook o mais forte ataque ao governo Dilma até agora pedindo que ela admita os erros ou renuncie FHC conclamou os dois maiores líderes do PSDB a alinharem o discurso.O primeiro a reagir foi o governador de São Paulo e pré-candidato à Presidência em 2018 2022 2026 2030 2034 e 2038 Geraldo Alckmin. “Eu só não consegui alinhar meu discurso com o do senador Aécio Neves porque minha agenda está um pouco defasada” disse o tucano numa coletiva de imprensa realizada dentro de uma piscina. “Eu só tenho o telefone da casa dele em Belo Horizonte e faz alguns anos que estou ligando e ele nunca está sempre está em Ipanema.”O senador Aécio rebateu através de assessores: “Eu já tentei enviar pessoas para começar uma conversa com o governador Alckmin mas dos três emissários que enviei dois foram espancados pela Polícia Militar de São Paulo e um acabou tristemente baleado numa chacina quando passava por Osasco. Os projéteis achados em seu corpo eram da PM de São Paulo mas não vejo por que dizer que a polícia do governador Alckmin é violenta. Vou mandar assessores de pele mais clara da próxima vez.”Alckmin teve tempo de emitir nota antes do fechamento da edição em resposta a Aécio. “Já encontramos a solução. Pagarei do próprio bolso por uma comissão que vai revirar os botecos de Copacabana de madrugada. Em menos de 24 horas começaremos a conversar com o senador Aécio.”M Zorzanelli",FAKE
Moreira Franco foi promovido a ministro da Secretaria-Geral da Presidência e agora mesmo com dezenas de citações nas delações dos executivos da Odebrecht na Operação Lava Jato passa a ter foro privilegiadoTemer aproveitou a ocasião para anunciar a criação de mais uma nova pasta: o Ministério do foro privilegiado. A pasta abrigará aliados políticos do governo que estejam encrencados com a Lava Jato ou qualquer outra operação da Polícia Federal. O cargo deve ser rotativo e o ministro do foro privilegiado em exercício será nomeado assim que aparecer am alguma delação e só pode ser julgado pelo Supremo Tribunal Federal.Devido a grande quantidade de políticos citados nas delações da Odebrecht a vaga para ministro do foro privilegiado será definida em sorteio eletrônico.",FAKE
Carlos Alberto Antunes estava em coma havia décadas nem mesmo a família sabia precisar desde quando. Carlos Alberto ficou assim após um acidente de carro e poucos eram os que tinham alguma esperança de que um dia ele recobrasse a lucidez.Pois este dia aconteceu. Na manhã de hoje Carlos abriu os olhos pela primeira vez depois de muitos anos. Ainda sem saber exatamente o que havia acontecido Carlos Alberto passou os olhos sobre um jornal e se deparou com algumas notícias como Mad Max fazendo sucesso e  Fernando Collor de Mello sendo investigado em uma CPI. Foi o suficiente para o paciente achar que havia dormido apenas alguns poucos dias.Recentemente um homem no Rio de Janeiro que estava em coma desde a década de 90achou que tinha passado somente uma noite no hospital quando acordou e se deparou com o Botafogo campeão e um trailer do novo filme da franquia Jurassic Park.",FAKE
Não tem um dia que a novela Joesley Batista-Michel Temer não tenha capítulos emocionantes. Encontros noturnos telefonemas secretos malas de dinheiro… Mas agora como em todo bom drama foi um caso de ciúmes. Na viagem em seu jatinho para a Bahia o empresário das carnes teria deixado flores para Marcela. Temer não gostou.Teria ligado para o empresário pedindo satisfações. “Como assim? Por que para ela não para mim???” indagou o presidente numa clara e grave crise de ciúmes. Joesley saiu pela tangente e disse que as flores haviam sido enviadas por sua mãe. Para quem Temer ligou logo a seguir mais conformado.Pudera. O presidente recebe o moço tarde da noite sem agenda sem burocracia atende suas ligações acha tudo ótimo e manda mandar isso que está aí…e o que recebe em troca? Nem flores.Joesley esclarece que flores para Temer só no enterro.",FAKE
Após ser divulgado que o presidente interino Michel Temer representará o Brasil na abertura das Olimpíadas Rio 2016 e que a presidente Dilma Rousseff terá seu lugar na cerimônia ao lado dos 5 ex-presidentes vivos Dilma usou seu Twitter para defender sua relação com os jogos e afirmou que ela e o ex-presidente Lula são os verdadeiros pais do evento no país.“Eu gostaria de ir às Olimpíadas pq fiz todas as tratativas preparativos e obras. Sou a mãe e o Lula o pai dos Jogos Olímpicos #Rio2016” twittou.Após a afirmação de Dilma o Conselho Tutelar foi acionado e já está tomando conta do caso.“Se Dilma e Lula são os pais precisaremos intervir. Não toleramos nenhuma negligência no âmbito familiar e pelo ambiente conturbado a total falta de estrutura e a bagunça em que o evento está inserido julgamos que esse filho precisa de um melhor cuidado. Nós tomaremos as devidas providências para garantir isso” afirmou o Conselho.",FAKE
A Febre Amarela foi parar no hospital um dia depois de chegar ao Rio. Ela passeava por Copacabana quando foi cercada por pivetes e acabou levando uma facada. Pouco antes a Febre tinha se perdido na cidade. Ela entrou por engano num morro em Santa Tereza e foi assaltada.A primeira facada porém foi na chegada ao Rio. Foi dada por um taxista ainda no aeroporto.Apesar dos incidentes a Febre Amarela disse estar encantada com a cidade onde não tinha vindo desde 1940. “Vejo que pouca coisa mudou continua a bagunça de sempre. Tenho todas as condições de até mesmo passar a viver aqui” disse ela.A Febre Amarela tem diagnóstico difícil. Afinal ninguém gosta de mostrar a mão amarela porque isso entrega quem foi.",FAKE
Os primeiros detalhes das investigações na casa do ex-presidente Lula e na sede do Instituto que leva o seu nome começam a aparecer.Depois de revelar que o apartamento em que mora em São Bernardo do Campo foi comprado por um compadre a PF descobriu que a carteira de identidade de Lula está no nome de um amigo o pecuarista José Carlos Bumlai.“Eu não consigo imaginar por que alguém trocaria de sobrenome por um nome tão escroto. Que diabo de nome é Bumlai?” disse um delegado da PF.A PF tenta agora comprovar a suspeita de que a última coisa pela qual Lula pagou na vida foi o café da manhã no dia em que subiu no palanque de uma reunião de sindicato pela primeira vez.",FAKE
A candidata a vice presidente pelo PSB Mariana Silva diz que a mudança ecológica no Brasil deve começar pela educação e que não suporta ver milhares e milhares de sementinhas de feijão germinarem e depois serem descartadas em escolas brasileiras. Segundo especialistas a vida de um feijãozinho no algodão é menor do que a vida política do Rede Sustentabilidade.Marina Silva disse também que ensinar as crianças a plantar feijão no algodão é o primeiro passo para que elas aprendam a plantar maconha em casa. “Devemos amar o verde mas com muita moderação” falou a candidata. Segundo ela sua principal bandeira será a reciclagem afinal ela mesmo está tentando se reciclar a cada partido que passa. ",FAKE
O ex-presidente Lula réu acusado de tentar impedir o acordo de delação premiada de Nestor Cerveró ex-diretor da Petrobras no âmbito da Operação Lava Jato prestou depoimento na 10ª Vara da Justiça Federal em Brasília na tarde de ontem. Durante o depoimento que durou quase 50 minutos Lula afirmou serem falsas as acusações contra ele se disse vítima de um massacre e que não sabe quanto ganha por mês.“Não sei estou tentando chutar aqui” disse Lula após somar sua aposentadoria a de sua falecida esposa doações direcionadas aos seus filhos e chegando em um valor total de mais de R$50 mil por mês.Após o depoimento o juíz substituto Ricardo Leite decidiu que a forma mais segura de saber quanto ganha mensalmente o ex-presidente seria perguntando a Odebrecht.“Eu também já fui do tipo super desorganizado financeiramente sabe? Até o dia em que decidi fazer uma planilha no Excel anotar todos os meus gastos e todo o dinheiro que entra. Vou enviar a planilha para Lula assim ele nunca mais se perderá nas contas de novo” disse o juiz.“Assim que eu souber quanto Lula ganha por mês criarei algumas colunas personalizadas na planilha como reformas na cozinha por exemplo e enviarei. Acho que será muito útil”.Veja a parte do depoimento em que Lula fala sobre seus ganhos mensais:Você ai pergunte para seu pai ou avô quanto ele ganha fixo por mês e veja se ele se embanana para responder como o Lula pic.twitter.com/dSVyhR7RXd— Comendo Sindicalista (@mafiasumers) 14 de março de 2017",FAKE
O senador José Serra causou revolta ontem no Facebook após criticar o fechamento da Avenida Paulista aos domingos. Serra disse que levou 40 minutos preso no engarrafamento para chegar em casa esquecendo-se que a cidade estava em estado de atenção por causa da chuva.Eleitores reagiram indignados e deram ideias para novos protestos do Senador. O campeão foi contra o fechamento das escolas. No início do mÊs governador tucano Geraldo Alckmin anunciou o fechamento escolas o que gerou ocupações em protesto.Muitos internautas também sugeriram que Serra usasse o metrô mas ele não sabe onde fica a estação por causa do sigilo decretado pelo governador de seu partido.De acordo com um amigo Serra só reparou que a Paulista fechava porque saiu de dia pela primeira vez.",FAKE
Após a visita do papa ao Brasil Sérgio Cabral está extremamente religioso. Segundo ele o desaparecimento de Amarildo não tem absolutamente nada a ver com seu governo mas que como cristão  já fez promessas para São Longuinho e tem fé que o pedreiro logo possa aparecer.Amarildo está desaparecido desde 14 de julho após ser detido em uma UPP. Porém o máximo que o governador pôde fazer foi prometer que São Longuinho o traria logo de volta: “Assim que aparecer o Rio de Janeiro inteiro vai dar três pulinhos pra agradecer! Vocês vão ver não falha nunca esse tal São Longuinho! É o máximo. Depois que ele trouxer o Amarildo vou pedir também pra ele trazer de volta a minha popularidade Vai trazer vocês vão ver.”",FAKE
A polícia de São Paulo tem um suspeito inusitado do assalto à casa de Paulo Maluf. Ele mesmo. A falta de sinal de arrombamento levou os policiais a essa conclusão. “É possível que ele simplesmente não tenha resistido e tenha afanado alguma coisa de si mesmo. Certos hábitos são difíceis de perder” disse um policial. Em nota Maluf negou ter praticado o crime.Caso seja comprovada a sua participação no roubo de si mesmo Maluf terá cem anos de perdão.Otileno Junior e Desiree Aparecida",FAKE
O deputado Jair Bolsonaro é mais uma vítima do preconceito. Jair foi segregado pelo também deputado Jean Willys que se recusou a sentar ao seu lado em um voo. Ficou claro que houve preconceito por causa da condição anencéfala de Bolsonaro. Numa demonstração de intolerância Willys se recusou a sentar ao lado do descerebrado Jair que filmou toda a situação e publicou nas redes sociais.Milhares de eleitores na mesma condição de Bolsonaro repudiaram a atitude preconceituosa do deputado do PSOL. No Twitter e no Facebook os fãs do “Bolsomito” compartilharam a hashtag de apoio #somostodossemcérebro",FAKE
Em resposta ao panelaço ocorrido em alguns bairros de algumas cidades brasileiras no momento do pronunciamento da presidenta Dilma Rousseff o PT declarou que as manifestações foram “financiadas” pela oposição. De acordo com o porta-voz do partido há indícios muito claros de que o ex-presidente Fernando Henrique Cardoso tenha comprado todo o estoque da Tramontina e junto com Aécio Neves e Luciano Huck distribuído nos bairros onde ocorretam os atos anti-Dilma.Como prevenção membros do partido estão dando planão na porta da fábrica da Rochedo para que o mesmo não aconteça.",FAKE
Se Marina continuar encolhendo desse jeito é possível que caiba no bolso de algum candidato. Principalmente do PT que tem mania de colocar tudo dentro do bolso. Marina disse que não se deve demonizar a queda. “Subir ou descer por que devemos escolher? A gente pode subir e descer ou ficar parado? Só precisamos é fazer isso com os bons” disse Marina.A candidata ficou de perguntar a Silas Malafaia o que fazer para estancar a sua queda. De acordo com o Ibope Marina caiu e levou três pontos. Na cabeça. Um analista recorreu a uma piada conhecida para falar sobre a candidata do PSB: “Marina é a candidatura golfinho: sobe faz uma graça lá em cima e depois mergulha.”",FAKE
